Banco,FechaReporte,Indicador,CategoriaIndicador,Saldo,TipoInstitucion
BANHCAFE,2024-01-31,(ACTIVOS LÍQUIDOS + PRÉSTAMOS VIGENTES A INSTITUCIONES FINANCIERAS)/(DEPÓSITOS DEL PÚBLICO+PRÉSTAMOS DE INSTITUCIONES FINANCIERAS),3) INDICADORES DE LIQUIDEZ,48.518915125452175,BANCOS COMERCIALES
BANHCAFE,2024-01-31,CALCES DE POSICIÓN EN MONEDA EXTRANJERA,5) INDICADORES DE CUMPLIMIENTO,13.82032415559005,BANCOS COMERCIALES
BANHCAFE,2024-01-31,CARTERA DE TARJETAS DE CRÉDITO/CARTERA CREDITICIA TOTAL,2) INDICADORES DE CALIDAD DE ACTIVOS,3.22240328139626,BANCOS COMERCIALES
BANHCAFE,2024-01-31,GASTOS DE ADMINISTRACIÓN (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,6) INDICADORES DE GESTIÓN,5.7318920929014405,BANCOS COMERCIALES
BANHCAFE,2024-01-31,GASTOS DE ADMINISTRACIÓN/INGRESOS TOTALES,6) INDICADORES DE GESTIÓN,75.41084908572249,BANCOS COMERCIALES
BANHCAFE,2024-01-31,INDICE DE ADECUACIÓN DE CAPITAL,1) INDICADORES DE SOLVENCIA,20.01824059612757,BANCOS COMERCIALES
BANHCAFE,2024-01-31,INDICE DE MOROSIDAD SOBRE CARTERA CREDITICIA DIRECTA (SIN CONTINGENTES),2) INDICADORES DE CALIDAD DE ACTIVOS,1.23597072921553,BANCOS COMERCIALES
BANHCAFE,2024-01-31,RATIO DE COBERTURA DE LIQUIDEZ,5) INDICADORES DE CUMPLIMIENTO,316.73693061625426,BANCOS COMERCIALES
BANHCAFE,2024-01-31,RENTABILIDAD SOBRE ACTIVOS (ROA): RESULTADOS EL EJERCICIO (ANUALIZADOS)/ACTIVOS TOTALES PROMEDIO,4) INDICADORES DE RENTABILIDAD,0.45573845801391,BANCOS COMERCIALES
BANHCAFE,2024-01-31,RENTABILIDAD SOBRE EL PATRIMONIOS (ROE): RESULTADOS EL EJERCICIO (ANUALIZADOS)/CAPITAL Y RESERVAS PROMEDIO,4) INDICADORES DE RENTABILIDAD,3.902670686408901,BANCOS COMERCIALES
BANHCAFE,2024-01-31,SPREAD DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,7.106266774061811,BANCOS COMERCIALES
BANHCAFE,2024-01-31,TASA ACTIVA DE INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,8.59162461980787,BANCOS COMERCIALES
BANHCAFE,2024-01-31,TASA PASIVA PARA INTERMEDIACIÓN,4) INDICADORES DE RENTABILIDAD,1.48535784574605,BANCOS COMERCIALES
BANHCAFE,2024-01-31,ÍNDICE DE COBERTURA DE LA MORA DE CARTERA,2) INDICADORES DE CALIDAD DE ACTIVOS,283.194419459089,BANCOS COMERCIALES
BANHCAFE,2024-01-31,ÍNDICE DE INVERSIÓN EN ACTIVOS FIJOS,5) INDICADORES DE CUMPLIMIENTO,27.7846212675958,BANCOS COMERCIALES
